time_of_day,condition,x,y,filename,any_plate_detected,detected_plate_text,detected_plate_confidence,is_correct_plate
dark flash,control,15,35,x_+15_y_35.heic,True,VAJ7771,0.9301377534866333,False
dark flash,control,-15,50,x_-15_y_50.heic,False,,,False
dark flash,control,0,50,x_+00_y_50.heic,False,,,False
dark flash,control,-20,50,x_-20_y_50.heic,False,,,False
dark flash,control,20,50,x_+20_y_50.heic,True,1RJ7774,0.9641072154045105,False
dark flash,control,15,50,x_+15_y_50.heic,False,,,False
dark flash,control,-5,50,x_-05_y_50.heic,False,,,False
dark flash,control,10,50,x_+10_y_50.heic,False,,,False
dark flash,control,-10,50,x_-10_y_50.heic,False,,,False
dark flash,control,5,50,x_+05_y_50.heic,False,,,False
dark flash,control,5,5,x_+05_y_05.heic,True,VRJ7774,0.9999983310699463,True
dark flash,control,-10,5,x_-10_y_05.heic,True,VRJ7774,0.9999980926513672,True
dark flash,control,10,5,x_+10_y_05.heic,True,VRJ7774,0.9999995827674866,True
dark flash,control,-5,5,x_-05_y_05.heic,True,VRJ7774,1.0,True
dark flash,control,15,5,x_+15_y_05.heic,True,VRJ7774,0.9999970197677612,True
dark flash,control,20,5,x_+20_y_05.heic,False,,,False
dark flash,control,0,5,x_+00_y_05.heic,True,VRJ7774,1.0,True
dark flash,control,-20,5,x_-20_y_05.heic,False,,,False
dark flash,control,-15,5,x_-15_y_05.heic,False,,,False
dusk,disruption,10,15,x_+10_y_15.heic,True,VNJ7774,0.9371097087860107,False
dusk,disruption,-5,15,x_-05_y_15.heic,True,VRJ7774,0.9976139068603516,True
dusk,disruption,5,15,x_+05_y_15.heic,True,VRJ7774,0.9999943971633911,True
dusk,disruption,-10,15,x_-10_y_15.heic,True,VRJ7774,0.9859225153923035,True
dusk,disruption,-20,15,x_-20_y_15.heic,False,,,False
dusk,disruption,0,15,x_+00_y_15.heic,True,VRJ7774,0.9999973773956299,True
dusk,disruption,-15,15,x_-15_y_15.heic,True,VRJ7774,0.9999985098838806,True
dusk,disruption,15,15,x_+15_y_15.heic,True,4AUHTT2,0.5346952676773071,False
dusk,disruption,20,15,x_+20_y_15.heic,True,YRJ7774,0.9507656097412109,False
dusk,disruption,-10,25,x_-10_y_25.heic,True,VRJ7774,0.9999692440032959,True
dusk,disruption,5,25,x_+05_y_25.heic,True,AVR7774,0.9188507795333862,False
dusk,disruption,-5,25,x_-05_y_25.heic,True,VRJ7774,0.9998990297317505,True
dusk,disruption,10,25,x_+10_y_25.heic,True,VRJ7774,0.9989429116249084,True
dusk,disruption,20,25,x_+20_y_25.heic,True,VRJ7774,0.9723876118659973,True
dusk,disruption,15,25,x_+15_y_25.heic,True,VRJ7774,0.999950647354126,True
dusk,disruption,-15,25,x_-15_y_25.heic,True,VRJ7774,0.9999327063560486,True
dusk,disruption,0,25,x_+00_y_25.heic,True,VRV777,0.860946774482727,False
dusk,disruption,-20,25,x_-20_y_25.heic,False,,,False
dusk,disruption,20,40,x_+20_y_40.heic,False,,,False
dusk,disruption,15,40,x_+15_y_40.heic,False,,,False
dusk,disruption,-15,40,x_-15_y_40.heic,True,VRJ7774,0.9424653649330139,True
dusk,disruption,-20,40,x_-20_y_40.heic,True,1J1774,0.7284033894538879,False
dusk,disruption,0,40,x_+00_y_40.heic,True,VWJ117,0.8494699001312256,False
dusk,disruption,-10,40,x_-10_y_40.heic,False,,,False
dusk,disruption,5,40,x_+05_y_40.heic,True,SSW771,0.5595916509628296,False
dusk,disruption,-5,40,x_-05_y_40.heic,True,NNVJ777,0.8085956573486328,False
dusk,disruption,10,40,x_+10_y_40.heic,True,FNHJ774,0.5032470226287842,False
dusk,disruption,-15,30,x_-15_y_30.heic,True,AVPJ774,0.9498614072799683,False
dusk,disruption,-20,30,x_-20_y_30.heic,True,2AVJ777,0.7912262678146362,False
dusk,disruption,0,30,x_+00_y_30.heic,True,VRV777,0.8120954632759094,False
dusk,disruption,20,30,x_+20_y_30.heic,True,AVRJ7714,0.8740776181221008,False
dusk,disruption,15,30,x_+15_y_30.heic,True,1VJ7774,0.8993682861328125,False
dusk,disruption,-5,30,x_-05_y_30.heic,True,VPJ7774,0.9375918507575989,False
dusk,disruption,10,30,x_+10_y_30.heic,True,VRJ7774,0.99974524974823,True
dusk,disruption,-10,30,x_-10_y_30.heic,True,VRJ7774,0.9128563404083252,True
dusk,disruption,5,30,x_+05_y_30.heic,True,AWR7774,0.7694478631019592,False
dusk,disruption,-10,45,x_-10_y_45.heic,False,,,False
dusk,disruption,5,45,x_+05_y_45.heic,True,1RV7774,0.6714780330657959,False
dusk,disruption,-5,45,x_-05_y_45.heic,False,,,False
dusk,disruption,10,45,x_+10_y_45.heic,True,65S7511,0.49182409048080444,False
dusk,disruption,20,45,x_+20_y_45.heic,False,,,False
dusk,disruption,15,45,x_+15_y_45.heic,False,,,False
dusk,disruption,-15,45,x_-15_y_45.heic,False,,,False
dusk,disruption,-20,45,x_-20_y_45.heic,False,,,False
dusk,disruption,0,45,x_+00_y_45.heic,False,,,False
dusk,disruption,20,20,x_+20_y_20.heic,True,VPJ7774,0.9411799907684326,False
dusk,disruption,15,20,x_+15_y_20.heic,True,VRJ7774,0.9999976754188538,True
dusk,disruption,-15,20,x_-15_y_20.heic,True,VRJ7774,0.9999759197235107,True
dusk,disruption,0,20,x_+00_y_20.heic,True,VRJ7774,0.9998730421066284,True
dusk,disruption,-20,20,x_-20_y_20.heic,True,VRJ777,0.9823940992355347,False
dusk,disruption,-10,20,x_-10_y_20.heic,True,VRJ7774,0.9999945163726807,True
dusk,disruption,5,20,x_+05_y_20.heic,True,VRJ7774,0.9975001215934753,True
dusk,disruption,-5,20,x_-05_y_20.heic,True,VWJ7774,0.9205308556556702,False
dusk,disruption,10,20,x_+10_y_20.heic,True,APP7774,0.7940637469291687,False
dusk,disruption,-20,10,x_-20_y_10.heic,False,,,False
dusk,disruption,0,10,x_+00_y_10.heic,True,VRJ7774,0.9997115731239319,True
dusk,disruption,-15,10,x_-15_y_10.heic,True,VRJ7774,0.999999463558197,True
dusk,disruption,15,10,x_+15_y_10.heic,True,1AJJ774,0.7194011211395264,False
dusk,disruption,20,10,x_+20_y_10.heic,True,VRJ7774,0.9905121922492981,True
dusk,disruption,10,10,x_+10_y_10.heic,True,VRJ7774,0.9999655485153198,True
dusk,disruption,-5,10,x_-05_y_10.heic,True,VRJ7774,0.9624216556549072,True
dusk,disruption,5,10,x_+05_y_10.heic,True,VRJ7774,0.9524376392364502,True
dusk,disruption,-10,10,x_-10_y_10.heic,True,1VTJ77,0.7046269178390503,False
dusk,disruption,-5,35,x_-05_y_35.heic,True,VRJ7774,0.9997726082801819,True
dusk,disruption,10,35,x_+10_y_35.heic,True,ARVJ777,0.7991831302642822,False
