time_of_day,condition,x,y,filename,any_plate_detected,detected_plate_text,detected_plate_confidence,is_correct_plate
dusk,disruption,10,25,x_+10_y_25.heic,True,VRJ7774,0.9954076409339904,True
dusk,disruption,20,25,x_+20_y_25.heic,False,,,False
dusk,disruption,15,25,x_+15_y_25.heic,True,VRRJ774,0.8365885019302368,False
dusk,disruption,-15,25,x_-15_y_25.heic,False,,,False
dusk,disruption,0,25,x_+00_y_25.heic,True,3HVR77,0.5029719471931458,False
dusk,disruption,-20,25,x_-20_y_25.heic,False,,,False
dusk,disruption,20,40,x_+20_y_40.heic,False,,,False
dusk,disruption,15,40,x_+15_y_40.heic,False,,,False
dusk,disruption,-15,40,x_-15_y_40.heic,False,,,False
dusk,disruption,-20,40,x_-20_y_40.heic,False,,,False
dusk,disruption,0,40,x_+00_y_40.heic,False,,,False
dusk,disruption,-10,40,x_-10_y_40.heic,False,,,False
dusk,disruption,5,40,x_+05_y_40.heic,False,,,False
dusk,disruption,-5,40,x_-05_y_40.heic,False,,,False
dusk,disruption,10,40,x_+10_y_40.heic,False,,,False
dusk,disruption,-15,30,x_-15_y_30.heic,False,,,False
dusk,disruption,-20,30,x_-20_y_30.heic,False,,,False
dusk,disruption,0,30,x_+00_y_30.heic,False,,,False
dusk,disruption,20,30,x_+20_y_30.heic,False,,,False
dusk,disruption,15,30,x_+15_y_30.heic,False,,,False
dusk,disruption,-5,30,x_-05_y_30.heic,False,,,False
dusk,disruption,10,30,x_+10_y_30.heic,False,,,False
dusk,disruption,-10,30,x_-10_y_30.heic,True,VRJ7774,0.8025037050247192,True
dusk,disruption,5,30,x_+05_y_30.heic,True,5AKJ17774,0.5521602630615234,False
dusk,disruption,-10,45,x_-10_y_45.heic,False,,,False
dusk,disruption,5,45,x_+05_y_45.heic,False,,,False
dusk,disruption,-5,45,x_-05_y_45.heic,False,,,False
dusk,disruption,10,45,x_+10_y_45.heic,False,,,False
dusk,disruption,20,45,x_+20_y_45.heic,False,,,False
dusk,disruption,15,45,x_+15_y_45.heic,False,,,False
dusk,disruption,-15,45,x_-15_y_45.heic,False,,,False
dusk,disruption,-20,45,x_-20_y_45.heic,False,,,False
dusk,disruption,0,45,x_+00_y_45.heic,False,,,False
dusk,disruption,20,20,x_+20_y_20.heic,False,,,False
dusk,disruption,15,20,x_+15_y_20.heic,True,VRJ777,0.88685542345047,False
dusk,disruption,-15,20,x_-15_y_20.heic,True,SRJ777,0.640682578086853,False
dusk,disruption,0,20,x_+00_y_20.heic,True,VRJ7774,0.9992281794548036,True
dusk,disruption,-20,20,x_-20_y_20.heic,False,,,False
dusk,disruption,-10,20,x_-10_y_20.heic,True,VRJ7774,0.9991579055786132,True
dusk,disruption,5,20,x_+05_y_20.heic,True,VRJ7774,0.984801948070526,True
dusk,disruption,-5,20,x_-05_y_20.heic,True,VMW7774,0.5962272882461548,False
dusk,disruption,10,20,x_+10_y_20.heic,True,V1J7774,0.7038823366165161,False
dusk,disruption,-20,10,x_-20_y_10.heic,False,,,False
dusk,disruption,0,10,x_+00_y_10.heic,True,V47J,0.614344596862793,False
dusk,disruption,-15,10,x_-15_y_10.heic,True,PNJ777,0.6328146457672119,False
dusk,disruption,15,10,x_+15_y_10.heic,True,NRJ7774,0.6825021505355835,False
dusk,disruption,20,10,x_+20_y_10.heic,True,HVJ777,0.540973961353302,False
dusk,disruption,10,10,x_+10_y_10.heic,True,VR7774,0.8795540928840637,False
dusk,disruption,-5,10,x_-05_y_10.heic,True,5H7J777,0.5261510014533997,False
dusk,disruption,5,10,x_+05_y_10.heic,True,VNJJ77,0.635260820388794,False
dusk,disruption,-10,10,x_-10_y_10.heic,True,55D41177,0.4617956578731537,False
dusk,disruption,-5,35,x_-05_y_35.heic,False,,,False
dusk,disruption,10,35,x_+10_y_35.heic,False,,,False
dusk,disruption,-10,35,x_-10_y_35.heic,False,,,False
dusk,disruption,5,35,x_+05_y_35.heic,False,,,False
dusk,disruption,-15,35,x_-15_y_35.heic,False,,,False
dusk,disruption,-20,35,x_-20_y_35.heic,False,,,False
dusk,disruption,0,35,x_+00_y_35.heic,False,,,False
dusk,disruption,20,35,x_+20_y_35.heic,False,,,False
dusk,disruption,15,35,x_+15_y_35.heic,False,,,False
dusk,disruption,-15,50,x_-15_y_50.heic,False,,,False
dusk,disruption,0,50,x_+00_y_50.heic,False,,,False
dusk,disruption,-20,50,x_-20_y_50.heic,False,,,False
dusk,disruption,20,50,x_+20_y_50.heic,False,,,False
dusk,disruption,15,50,x_+15_y_50.heic,False,,,False
dusk,disruption,-5,50,x_-05_y_50.heic,False,,,False
dusk,disruption,10,50,x_+10_y_50.heic,False,,,False
dusk,disruption,-10,50,x_-10_y_50.heic,False,,,False
dusk,disruption,5,50,x_+05_y_50.heic,False,,,False
dusk,disruption,5,5,x_+05_y_05.heic,True,SHS97,0.3824754655361175,False
dusk,disruption,-10,5,x_-10_y_05.heic,True,VJ7777,0.6939365863800049,False
dusk,disruption,10,5,x_+10_y_05.heic,True,SVJJ77,0.5018205642700195,False
dusk,disruption,-5,5,x_-05_y_05.heic,True,35JJ774,0.4707773923873901,False
dusk,disruption,15,5,x_+15_y_05.heic,True,RRJ777,0.6393991708755493,False
dusk,disruption,20,5,x_+20_y_05.heic,False,,,False
dusk,disruption,0,5,x_+00_y_05.heic,True,587J77,0.4578653872013092,False
dusk,disruption,-20,5,x_-20_y_05.heic,False,,,False
dusk,disruption,-15,5,x_-15_y_05.heic,False,,,False
dusk,impersonation,10,15,x_+10_y_15.heic,True,VJJ7744,0.939724624156952,False
dusk,impersonation,-5,15,x_-05_y_15.heic,True,VJJ7744,0.9900152683258056,False
dusk,impersonation,5,15,x_+05_y_15.heic,True,VRI4744,0.8231648802757263,False
dusk,impersonation,-10,15,x_-10_y_15.heic,True,VJJ7744,0.9394255876541138,False
dusk,impersonation,-20,15,x_-20_y_15.heic,False,,,False
dusk,impersonation,0,15,x_+00_y_15.heic,True,VJJ7744,0.9636086225509644,False
dusk,impersonation,-15,15,x_-15_y_15.heic,True,VRJ7774,0.9966471195220948,True
dusk,impersonation,15,15,x_+15_y_15.heic,True,VJ77744,0.9355471134185792,False
dusk,impersonation,20,15,x_+20_y_15.heic,True,VRJ7774,0.9945445656776428,True
dusk,impersonation,-10,25,x_-10_y_25.heic,False,,,False
dusk,impersonation,5,25,x_+05_y_25.heic,True,VRJ7774,0.995550811290741,True
dusk,impersonation,-5,25,x_-05_y_25.heic,True,VRJ7774,0.9792665839195251,True
dusk,impersonation,10,25,x_+10_y_25.heic,True,VJJ7744,0.9937583208084106,False
dusk,impersonation,20,25,x_+20_y_25.heic,False,,,False
